	0
meningitis	8213.149561403508
alzheimer's_diesease	27363.188157894736
parkinson's_disease	6493.6273391812865
nutritional_deficiency	11006.353947368421
malaria	18903.16023391813
drowning	8619.055116959064
interpersonal_violence	10636.648684210526
maternal_disorders	6131.066959064327
hiv/aids	28141.24941520468
drug_use_disorders	2449.070760233918
tuberculosis	37153.226608187135
cardiovascular_diseases	391007.9614035088
lower_respiratory_infections	69343.8331871345
neonatal_disorders	61315.1668128655
alcohol_use_disorders	4247.575
self_harm	20775.570760233917
exposure_to_forces_of_nature	1178.5463450292398
diarrheal_diseases	53212.57938596491
environmental_heat_and_cold_exposure	1535.191812865497
neoplasms	206852.3206140351
conflict_and_terrorism	2439.8925438596493
diabetes_mellitus	27143.00701754386
chronic_kidney_disease	25068.92880116959
poisonings	2145.4558479532166
protein_energy_malnutrition	9531.52880116959
terrorism	349.2359045313041
road_injuries	30634.956140350878
chronic_respiratory_diseases	91303.89766081871
chronic_liver_diseases	31898.919005847954
digestive_diseases	56525.512134502926
fire_heat_hot_substance	3006.043274853801
acute_hepatitis	3112.066520467836
